1,_,是正品,真伪,正面
1,_,擦在脸上勾称白嫩,功效,正面
1,_,是个不错的商品,整体,正面
2,_,不是我喜欢的,整体,负面
2,颜色,明显,使用体验,负面
2,颜色,让人家一眼就看出,使用体验,负面
3,_,挺细腻,使用体验,正面
4,_,还行吧,整体,正面
5,效果,不错,功效,正面
6,_,很细腻,使用体验,正面
6,_,贴合肤色,功效,正面
6,_,一下子提亮了肌肤,功效,正面
6,_,很好,整体,正面
7,_,特别好用,整体,正面
7,_,建议购买,整体,正面
7,_,很喜欢,整体,正面
8,_,好评,整体,正面
9,_,购物愉快,服务,正面
9,_,好东西,整体,正面
9,_,感觉还可以,使用体验,中性
10,_,不错,整体,正面
11,_,不错,整体,正面
11,_,没有油腻的感觉,使用体验,正面
11,_,敷上很清爽,使用体验,正面
11,_,水润,使用体验,正面
12,包装,一般,包装,中性
12,包装,还行,包装,中性
13,质量,一般般,整体,中性
14,_,不错,整体,正面
15,物流速度,快,物流,正面
15,盖子,裂了，还掉了一小块,包装,负面
15,这一点,让人很不爽,包装,负面
16,_,没以前的好用,整体,负面
17,发货速度,快,物流,正面
17,_,买东西就是这样好,整体,正面
18,_,很喜欢,整体,正面
18,_,很好用,使用体验,正面
19,_,很好,整体,正面
19,_,不错,整体,正面
19,_,支持**,整体,正面
19,_,给力,整体,正面
19,_,大赞一个,整体,正面
19,_,喜欢,整体,正面
20,_,自然,使用体验,正面
20,_,不油腻,使用体验,正面
21,_,挺好用的,使用体验,正面
22,_,很适合油性和混油的皮肤,功效,正面
22,_,晚上用最合适了,使用体验,正面
22,_,会洗的比较干净的,功效,正面
23,_,很不错呢,整体,正面
23,_,很贴肤细腻,使用体验,正面
24,_,不错,整体,正面
25,_,一直使用,整体,正面
25,_,确实比平时优惠,价格,正面
26,_,很好用,整体,正面
26,太贵了,太贵了,价格,负面
26,这天气可以再过一久使用,可以再过一久使用,使用体验,中性
26,有点干,有点干,使用体验,负面
27,_,真心不错,整体,正面
28,成膜,较慢,使用体验,负面
28,_,油腻,使用体验,负面
28,效果,一般,功效,中性
29,_,很好用,整体,正面
29,_,很温和,使用体验,正面
29,_,值得入手,整体,正面
30,_,还可以吧,整体,正面
30,_,有些发白,使用体验,负面
30,_,过会儿就自然了,使用体验,正面
31,_,不错不错,整体,正面
31,效果,非常好,功效,正面
32,_,第二次买,整体,正面
32,卸妆液,升级过了的,整体,正面
32,卸妆,干净,功效,正面
32,_,比之前的好,整体,正面
32,_,给个好评,整体,正面
33,_,好用,整体,正面
33,摸上,很自然,使用体验,正面
34,_,快,物流,正面
34,东西,很好,整体,正面
34,用着,不错,使用体验,正面
35,洗面奶,不合适,功效,负面
35,洗面奶,有刺激性,使用体验,负面
35,洗面奶,洗后有些痒,使用体验,负面
35,_,送了很多东西,服务,正面
36,快递,很快,物流,正面
37,_,很快,物流,正面
37,_,很划算,价格,正面
38,_,很水润,使用体验,正面
38,包装,也不错,包装,正面
38,_,推荐给闺蜜朋友了,整体,正面
39,物流,很快,物流,正面
39,快递小哥服务,很好,服务,正面
39,试用,已经试用过,使用体验,中性
39,_,是真的,真伪,正面
40,_,特别划得来,价格,正面
40,120ml,特别划得来,尺寸,正面
40,_,希望以后能多多做活动,服务,正面
41,_,水水的,使用体验,正面
41,_,很好用,使用体验,正面
41,_,不紧绷了,功效,正面
42,质量,一般,其他,中性
43,_,挺好用的,整体,正面
43,酒精味,重,气味,负面
44,_,很喜欢,整体,正面
45,_,很好,整体,正面
45,_,一直在用,整体,正面
45,_,购买了好几次了,整体,正面
46,_,还可以,整体,正面
47,_,非常不错哦,整体,正面
47,味道,没有刺鼻的味道,气味,正面
47,_,很温和,使用体验,正面
48,_,还行,整体,正面
48,_,不错,整体,正面
49,盒子,没有,包装,负面
49,塑料袋,直接,包装,负面
49,发货,连个盒子都没有,服务,负面
49,_,太垃圾了,整体,负面
49,_,感觉不值这个价,价格,负面
50,香味,淡淡的,气味,正面
50,_,还不错,整体,正面
50,发票,不提供,服务,负面
50,方便,不方便,服务,负面
51,还送了两个替换的,不错,服务,正面
52,_,好用,整体,正面
52,_,显白,功效,正面
52,不油腻,不油腻,使用体验,正面
53,价格,挺便宜的,价格,正面
53,替换装,还送了两个替换装,服务,正面
53,_,希望效果好,功效,正面
54,这款面膜,用着不错,使用体验,正面
54,打折,_,价格,正面
54,快递,速度快昨晚下单中午就到了，给快递小哥点赞,物流,正面
55,_,很不错,整体,正面
55,_,实惠,价格,正面
55,_,下次还会再来,整体,正面
56,_,很喜欢,整体,正面
57,_,不怎么好用,整体,负面
58,卸妆水,大大的一瓶,尺寸,正面
58,卸妆水,亲肤柔和,使用体验,正面
58,_,满意！！！,整体,正面
59,_,辣眼睛疼,使用体验,负面
60,_,非常好,整体,正面
60,_,很滑,使用体验,正面
60,_,很嫩,使用体验,正面
61,_,好好好好,整体,正面
62,脸上,一擦就蹭下来了,使用体验,负面
62,_,不好用,整体,负面
62,_,可能我不适合这个,整体,负面
63,活动,特别合适,整体,正面
63,_,关注好久了,整体,正面
64,_,很适合,整体,正面
64,_,不错啊,整体,正面
65,质量,不错,功效,正面
65,送货师傅,很给力,物流,正面
66,物流,很快,物流,正面
66,_,听说还可以,整体,中性
67,_,别的没有这个好用,整体,正面
68,物流,非常快,物流,正面
68,包装,不错,包装,正面
68,_,期待好用,功效,正面
69,快递,给力,物流,正面
70,_,还可以,整体,正面
71,_,保湿滋润,使用体验,正面
71,_,挺好的,整体,正面
72,包装,很一般,包装,中性
73,_,过敏,使用体验,负面
73,_,脸上长红色的疙瘩,使用体验,负面
74,_,不怎么滴,整体,负面
75,_,真心不错,整体,正面
75,活动,非常划算,价格,正面
75,用着,有好,使用体验,正面
75,温和不刺激,温和不刺激,功效,正面
76,_,很好用,整体,正面
77,_,好评,整体,正面
77,_,真的好好用,整体,正面
77,_,无刺激,使用体验,正面
77,_,用完还会购买,整体,正面
78,价格,便宜,价格,正面
78,性价比,高,价格,正面
78,包装,不错,包装,正面
79,包装,很好,包装,正面
79,快递,也快,物流,正面
80,_,还不错,整体,正面
80,补水效果,不会让我失望,功效,正面
80,_,会继续光顾的,整体,正面
81,_,很好用的,整体,正面
82,_,不错,整体,正面
82,物流,很快,物流,正面
82,_,值得信赖,整体,正面
83,_,还行,整体,中性
84,_,还不错,整体,正面
84,_,会回购,整体,正面
85,_,朋友推荐的,整体,正面
85,设计,很喜欢,整体,正面
